ID,Character,Prompt,Left_Choice,Left_Piety,Left_Stability,Left_Power,Left_Wealth,Right_Choice,Right_Piety,Right_Stability,Right_Power,Right_Wealth,Requires_Card,Requires_Choice,Requires_Metric,Requires_Range,Chain_Card
019,Captain of the Guard,"The captain stands at rigid attention: ""Palace security requires enhancement, Your Majesty. Threats multiply.""","Current measures suffice; avoid creating an atmosphere of fear.",0,10,-10,5,"No risk is acceptable; double the guard presence.",-5,-5,15,-15,,,,,020
020,Captain of the Guard,"The captain reports on security protocols: ""Your security stance affects palace atmosphere. Protection methodologies diverge.""",Visible guards demonstrating royal power.,5,-10,10,-10,Covert protection prioritizing intelligence gathering.,-5,5,15,-15,019,Right,,,
021,Knight Chapter-Master,"The armored knight kneels with sword presented: ""Chivalric orders shape military culture, Your Highness. Shall we revise our code?""","Ancient traditions guide our knights; maintain the old ways.",15,-5,10,-5,"Modern warfare demands practical virtues; update the code.",-15,10,15,-10,,,,,022
022,Knight Chapter-Master,"The knight discusses order traditions: ""Your code revision affects warrior ethos. Recruitment standards await guidance.""",Noble birth as primary qualification for knighthood.,20,-20,5,-5,Merit-based advancement regardless of birth.,-20,25,10,-10,021,Right,,,
023,Fleet Admiral,"The admiral's weathered face shows determination: ""Naval power provides security and prosperity, Your Majesty. Shall we expand our fleet?""","Our strength lies on land; maintain minimal naval forces.",0,-10,10,15,"Control of the seas ensures dominance; build more ships!",0,5,25,-25,,,,,024
024,Fleet Admiral,"The admiral presents naval strategy: ""Your fleet decision shapes maritime policy. Ship types require prioritization.""",Defensive coastal vessels protecting our shores.,0,5,10,-10,Blue-water ships projecting power globally.,-5,0,25,-25,023,Right,,,
025,Master of Arms,"The weaponsmith displays gleaming steel: ""Combat evolves constantly, Sire. Shall we adopt new weapon designs?""","Proven weapons serve us well; avoid experimental armaments.",10,0,10,-5,"Technological advantage wins wars; forge new weapons!",-10,0,25,-20,,,,,026
026,Master of Arms,"The armorer displays equipment innovations: ""Your weapons decision affects battlefield capabilities. Manufacturing approaches differ.""",Mass-produced standard weapons equipping more troops.,0,-5,15,-15,Precision crafted superior weapons for elite forces.,-5,5,20,-20,025,Right,,,
027,Master of the Stables,"The stable master smells of hay and horses: ""Cavalry mobility determines battlefield advantage, Your Majesty. Shall we improve our breeding program?""","Current mounts serve adequately; maintain existing stock.",0,0,10,5,"Speed and strength win battles; breed superior horses!",-5,0,20,-15,,,,,028
028,Master of the Stables,"The equestrian expert discusses breeding: ""Your cavalry decision shapes mounted warfare. Training methodologies await.""",Heavy warhorses for armored knights.,0,-5,15,-10,Swift coursers for mobile light cavalry.,0,5,20,-15,027,Right,,,
029,Master of the Kennels,"The kennel master whistles to his hounds: ""Hunting traditions define nobility, Your Highness. Shall we expand the royal pack?""","Such extravagance serves little purpose; maintain current hounds.",5,-5,0,10,"The finest hounds reflect royal prestige; expand the kennels!",-5,10,0,-15,,,,,030
030,Master of the Kennels,"The dog handler discusses breeding plans: ""Your kennel decision affects hunting traditions. Training approaches vary.""",Traditional bloodlines emphasizing proven heritage.,10,0,5,-5,Experimental breeding seeking improved capabilities.,-5,10,5,-10,029,Right,,,
031,Master of Spies,"The spymaster emerges from the shadows: ""Information shapes destiny, Sire. Shall we expand our intelligence network?""","Honorable rulers need no spies; reduce such activities.",10,-5,-10,10,"Knowledge is power; eyes and ears everywhere.",-10,5,15,-20,,,,,032
032,Master of Spies,"The intelligence master presents findings: ""Your espionage decision yields results. Operational methods await direction.""",Defensive counterintelligence protecting state secrets.,5,0,10,-10,Aggressive foreign operations gathering external information.,-5,-10,20,-15,031,Right,,,
033,Cardinal,"The cardinal's robes rustle as he kneels: ""Faith guides the righteous, Your Majesty. Shall we increase church authority?""","The crown stands above all; limit ecclesiastical power.",-25,15,10,0,"Divine guidance ensures prosperity; empower the church!",25,-10,-5,-5,,,,,034
034,Cardinal,"The religious leader discusses ecclesiastical power: ""Your church policy shapes spiritual guidance. Religious education awaits decision.""",Secular education with limited religious influence.,-15,10,5,-5,Church-controlled schools emphasizing religious doctrine.,25,-15,-5,-10,033,Right,,,
035,Abbot,"The abbot's humble appearance belies his influence: ""Monastic orders serve faith and learning, Your Highness. Shall we grant new lands to monasteries?""","Productive lands serve better purposes; limit donations.",-15,10,0,10,"Holy orders preserve knowledge; endow them generously!",20,-5,0,-15,,,,,036
036,Abbot,"The monastic leader discusses land management: ""Your monastery decision affects religious houses. Their social role requires guidance.""",Focus monasteries on prayer and religious contemplation.,15,-10,0,-5,Direct monasteries to provide education and public service.,5,20,0,-15,035,Right,,,
037,Grand Inquisitor,"The inquisitor's eyes burn with zealous fire: ""Heresy threatens souls, Your Majesty. Shall we strengthen the Inquisition?""","Religious persecution creates martyrs; moderate our approach.",-20,20,0,-5,"Faith requires protection; purge all heresy!",25,-25,10,-10,,,,,038
038,Grand Inquisitor,"The inquisitor presents evidence of heresy: ""Your inquisition policy affects religious unity. Enforcement methods await.""",Educational approach focusing on correct doctrine.,10,5,0,-10,Aggressive prosecution with severe punishments.,30,-30,5,-15,037,Right,,,
039,Court Philosopher,"The thinker strokes his beard thoughtfully: ""Wisdom guides governance, Sire. Shall we patronize philosophical inquiry?""","Abstract thinking wastes resources; focus on practicalities.",15,-10,0,5,"Intellectual advancement benefits all; fund the thinkers!",-15,15,0,-15,,,,,040
040,Court Philosopher,"The philosopher presents competing schools: ""Your patronage shapes intellectual development. Philosophical approaches differ.""",Practical philosophy supporting state interests.,10,0,10,-10,Speculative inquiry challenging conventional wisdom.,-20,20,-5,-15,039,Right,,,
041,Court Mystic,"The mystic's eyes seem to see beyond: ""Arcane forces influence destiny, Your Highness. Shall we incorporate mystical guidance?""","Superstition breeds confusion; rely on reason alone.",20,-15,0,0,"Hidden powers benefit those who understand; embrace the mystical!",-20,10,0,-10,,,,,042
042,Court Mystic,"The occultist demonstrates strange phenomena: ""Your mystical stance affects supernatural engagement. Application approaches vary.""",Limited divination for major state decisions only.,10,-5,0,-5,Comprehensive integration of mystical practices in governance.,-25,15,0,-15,041,Right,,,
043,Court Alchemist,"The alchemist's hands bear strange stains: ""Transmutation promises wonders, Your Majesty. Shall we fund alchemical research?""","Such pursuits waste resources on fantasies; limit funding.",15,-5,0,10,"Discovery requires investment; support all experimentation!",-15,10,0,-20,,,,,044
044,Court Alchemist,"The researcher presents curious findings: ""Your alchemical funding yields results. Application priorities await.""",Military applications seeking tactical advantages.,5,-15,25,-15,Medicinal applications advancing public health.,-10,25,-5,-20,043,Right,,,
045,Court Astronomer,"The astronomer points to celestial charts: ""The stars reveal patterns, Sire. Shall we establish an observatory?""","Star-gazing yields little practical benefit; save resources.",15,-10,0,10,"Cosmic knowledge enriches understanding; build it now!",-15,15,0,-15,,,,,046
046,Court Astronomer,"The stargazer presents calculations: ""Your observatory enables discoveries. Research directions require guidance.""",Practical applications supporting navigation and timekeeping.,5,5,10,-10,Pure research exploring theoretical astronomy.,-10,15,0,-15,045,Right,,,
047,Royal Cartographer,"Maps spread before the explorer: ""Unknown regions await, Your Highness. Shall we fund mapping expeditions?""","Known territories suffice; exploration wastes resources.",5,-15,5,10,"Discovery brings opportunity; map every frontier!",-5,15,10,-20,,,,,048
048,Royal Cartographer,"The geographer presents new discoveries: ""Your exploration stance yields findings. Territorial claims await.""",Military outposts securing strategic locations.,0,-10,20,-15,Trading posts establishing commercial relationships.,0,20,-5,-10,047,Right,,,
049,Royal Librarian,"The scholar clutches precious manuscripts: ""Knowledge empowers rulers, Your Majesty. Shall we expand the royal collection?""","Existing volumes suffice; avoid unnecessary expense.",10,-10,0,10,"Wisdom from all ages must be preserved; acquire everything!",-10,15,0,-20,,,,,050
050,Royal Librarian,"The archivist discusses collection policies: ""Your library expansion shapes knowledge access. Preservation approaches differ.""",Restricted access limited to approved scholars.,15,-15,5,-5,Public reading rooms serving educated citizens.,-15,25,-5,-10,049,Right,,,
051,Chief Scribe,"The scribe's ink-stained fingers never rest: ""Records preserve achievements, Your Highness. Shall we revise official chronicles?""","History stands written; maintain established accounts.",15,-5,0,0,"Truth must prevail; rewrite to reflect reality!",-15,10,0,-5,,,,,052
052,Chief Scribe,"The chronicler discusses historical narratives: ""Your revision policy shapes legacy. Recording methodologies await.""",Heroic tradition emphasizing royal accomplishments.,20,-10,5,-5,Comprehensive approach documenting diverse perspectives.,-20,20,-5,-10,051,Right,,,
053,Court Physician,"The doctor's hands are meticulously clean: ""Public health determines prosperity, Sire. Shall we establish royal hospitals?""","Individual fate belongs to God; limit intervention.",20,-20,0,5,"Care for all improves the realm; build healing houses!",-20,25,0,-20,,,,,054
054,Court Physician,"The healer discusses medical approaches: ""Your hospital decision affects public welfare. Treatment methodologies await.""",Traditional treatments supervised by religious authorities.,25,-10,0,-10,Experimental treatments based on scientific observation.,-20,25,0,-15,053,Right,,,
055,Plague Doctor,"The masked physician speaks urgently: ""Contagion threatens all, Your Majesty. Shall we impose quarantine measures?""","Commerce must continue; isolation damages prosperity.",15,-25,0,10,"Containment saves lives; seal affected areas!",-15,10,0,-15,,,,,056
056,Plague Doctor,"The epidemiologist reports on disease spread: ""Your quarantine decision affects public health. Medical responses await.""",Symptomatic treatment focusing on comfort.,20,-15,0,-10,Preventative measures seeking to halt transmission.,-15,25,0,-15,055,Right,,,
057,Master Builder,"The architect unfurls detailed plans: ""Infrastructure shapes kingdoms, Your Highness. Shall we rebuild the capital?""","Our city stands well enough; save your grand designs.",0,-15,0,20,"A capital worthy of our glory; transform everything!",0,20,0,-30,,,,,058
058,Master Builder,"The urban planner discusses development: ""Your rebuilding decision shapes city life. Design priorities await.""",Monumental architecture demonstrating royal power.,10,-5,5,-20,Practical improvements enhancing citizen welfare.,-5,25,-5,-15,057,Right,,,
059,Master Blacksmith,"The smith's muscled arms gesture expressively: ""Metalwork advances constantly, Sire. Shall we adopt new forging techniques?""","Traditional methods have proven reliable; maintain practices.",10,-5,10,-5,"Innovation strengthens steel; embrace new methods!",-10,10,20,-15,,,,,060
060,Master Blacksmith,"The metalworker demonstrates techniques: ""Your forging decision affects production. Manufacturing approaches diverge.""",Focus on traditional weapons with proven effectiveness.,5,0,15,-10,Develop revolutionary new metallurgical processes.,-5,5,25,-20,059,Right,,,
061,Master Shipwright,"The shipbuilder's plans show sleek vessels: ""Naval architecture evolves, Your Majesty. Shall we implement new ship designs?""","Proven designs serve us well; avoid risky innovations.",5,0,10,-5,"Revolutionary hulls ensure superiority; build them now!",-5,5,25,-20,,,,,062
062,Master Shipwright,"The naval engineer discusses construction: ""Your shipbuilding decision shapes maritime capacity. Vessel types await prioritization.""",Defensive galleys for coastal protection.,0,5,10,-15,Ocean-going vessels for exploration and trade.,-5,15,15,-25,061,Right,,,
063,Guild Merchant,"The merchant presents market analyses: ""Commerce drives prosperity, Your Highness. Shall we liberalize trade policies?""","Foreign goods threaten local crafts; maintain protections.",5,-15,0,10,"Free exchange enriches all; reduce restrictions!",-5,25,0,-10,,,,,064
064,Guild Merchant,"The trader discusses economic impacts: ""Your trade policy affects markets. Regulatory approaches differ.""",Strict quality standards enforced by royal inspectors.,10,-10,0,-5,Self-regulation by merchant guilds with minimal interference.,-10,20,0,-10,063,Right,,,
065,Master of the Hunt,"The huntsman's weathered face shows experience: ""The chase defines nobility, Sire. Shall we expand royal hunting preserves?""","Common needs outweigh pleasure; limit our grounds.",0,20,-5,-5,"Noble pursuits require space; expand the preserves!",-5,-20,10,-10,,,,,066
066,Master of the Hunt,"The gamekeeper reports on wildlife: ""Your hunting decision affects forest management. Conservation approaches await.""",Harsh penalties for any commoner hunting royal game.,5,-25,5,-5,Seasonal hunting rights granted to local communities.,0,15,-5,0,065,Right,,,
067,Royal Falconer,"The falconer's birds perch majestically: ""Noble sport requires noble birds, Your Majesty. Shall we import exotic falcons?""","Current birds serve adequately; avoid needless expense.",0,-5,0,10,"The finest hunters in the kingdom; acquire rare breeds!",-5,10,0,-15,,,,,068
068,Royal Falconer,"The bird handler discusses breeding: ""Your falconry decision shapes hunting traditions. Training methodologies await.""",Traditional techniques passed through generations.,10,-5,0,-5,Innovative methods incorporating foreign practices.,-10,15,0,-10,067,Right,,,
069,Master of the Harvest,"The farmer bows, soil still fresh on his hands: ""Agriculture determines survival, Your Highness. Shall we implement crop rotation?""","Traditional planting has fed us for generations.",10,-15,0,5,"Scientific farming increases yields; implement immediately!",-10,25,0,-10,,,,,070
070,Master of the Harvest,"The agronomist presents yield data: ""Your agricultural decision affects food production. Farming approaches await.""",Focus on familiar crops with predictable yields.,5,-5,0,0,Experiment with new varieties seeking higher productivity.,-5,20,0,-15,069,Right,,,
071,Peasant Bailiff,"The representative speaks nervously: ""The common folk struggle, Your Majesty. Shall we reduce their tax burden?""","The realm requires revenue; maintain current rates.",10,-25,0,15,"Compassion guides wise rulers; reduce their burden.",-10,30,0,-20,,,,,072
072,Peasant Bailiff,"The village representative reports local conditions: ""Your tax decision affects rural communities. Support programs await consideration.""",Mandatory labor service in lieu of some taxes.,5,-15,10,-5,Infrastructure improvements supporting village economies.,-5,25,-5,-15,071,Right,,,
073,Queen,"The queen speaks with quiet authority: ""Dynasty ensures stability, my husband. Shall we arrange marriages for our children?""","Let them choose partners based on affection.",0,15,-10,-5,"Strategic alliances strengthen our position; arrange unions.",5,-10,15,-10,,,,,074
074,Queen,"The queen discusses succession plans: ""Your marriage policy shapes our dynasty. Educational priorities for royal children await.""",Practical governance and military leadership.,5,-5,15,-10,Diplomatic skills and cultural refinement.,-5,15,-10,5,073,Right,,,
075,Prince,"The young royal stands proudly: ""Future rulers require experience, Father. Assign me meaningful responsibilities.""","Youth requires guidance; continue your studies for now.",0,-5,-5,5,"Leadership through practice; govern a province in my name.",0,10,10,-10,,,,,076
076,Prince,"The prince reports on his governance: ""Your delegation decision shapes my development. Leadership style awaits guidance.""",Conservative administration maintaining traditions.,10,-5,5,0,Progressive reforms testing new approaches.,-10,15,0,-10,075,Right,,,
077,Princess,"The princess curtsies with perfect grace: ""Diplomatic relations offer opportunities, Father. A foreign prince seeks my hand.""","Foreign entanglements threaten independence; decline politely.",-5,-5,10,0,"Alliance through marriage strengthens both realms; accept.",5,10,-10,0,,,,,078
078,Princess,"The princess discusses marriage implications: ""Your betrothal decision affects alliances. Cultural exchange awaits direction.""",Token marriage maintaining political independence.,0,5,5,0,Deep integration fostering cultural and political ties.,10,15,-15,-5,077,Right,,,
079,Noble Lord,"The aristocrat's finery gleams in the light: ""Provincial governance requires authority, Your Majesty. Grant us greater autonomy.""","Central control ensures consistency; maintain royal oversight.",15,-15,10,-5,"Local knowledge improves governance; grant limited powers.",-15,20,-5,10,,,,,080
080,Noble Lord,"The noble discusses administrative approaches: ""Your autonomy decision affects provincial rule. Taxation rights await clarification.""",All revenue flows to royal treasury first.,10,-20,5,15,Local retention of portion of collected taxes.,-10,15,-5,-5,079,Right,,,
081,Noble Lady,"The noblewoman's influence is subtle but powerful: ""Court culture shapes perception, Your Highness. Shall we host a grand ball?""","Such extravagance serves little purpose; decline.",10,-15,0,15,"Social connections strengthen alliances; host magnificently!",-10,20,0,-20,,,,,082
082,Noble Lady,"The aristocrat discusses social stratification: ""Your entertainment decision affects court dynamics. Invitation policies await.""",Exclusive attendance limited to highest nobility.,15,-10,5,-5,Broader inclusion of rising merchants and scholars.,-15,25,-5,-15,081,Right,,,
083,Royal Jester,"The fool's bells jingle merrily: ""Laughter heals all wounds, Sire. Shall we expand court entertainments?""","Serious matters demand focus; limit frivolity.",10,-15,0,10,"Joy lightens the burden of rule; bring more merriment!",-10,25,0,-15,,,,,084
084,Royal Jester,"The entertainer demonstrates performances: ""Your entertainment decision shapes court culture. Performance styles await approval.""",Traditional showcases celebrating royal virtue.,15,-5,0,-5,Satirical presentations questioning social conventions.,-15,20,0,-10,083,Right,,,
085,Royal Advisor,"The advisor speaks confidentially: ""Succession concerns trouble the court, Your Majesty. Clear rules would ensure stability.""","Ancient customs have served us well; follow tradition.",15,-10,5,0,"Formalized succession law prevents conflict; codify rules.",-10,15,0,-10,,,,,086
086,Royal Advisor,"The counselor presents legal frameworks: ""Your succession decision shapes the realm's future. Implementation approaches await.""",Primogeniture reinforcing established lineage.,10,-5,10,-5,Merit-based considerations within eligible bloodlines.,-15,20,-5,0,085,Right,,,
087,Cardinal,"The religious leader speaks of cosmic signs: ""Divine portents suggest action, Your Majesty. The church recommends a royal pilgrimage.""","Superstition guides the weak; focus on governance.",25,-15,0,5,"Faith strengthens leadership; undertake the journey.",-25,20,0,-15,,,,,088
088,Cardinal,"The priest discusses spiritual impact: ""Your pilgrimage decision affects religious perceptions. Ceremonial approaches await.""",Private devotions emphasizing personal faith.,15,-5,0,-5,Public ceremonies demonstrating royal piety.,-15,25,0,-20,087,Right,,,
089,General,"War horns sound in the distance: ""Neighboring forces mass at the border, Sire. Military response requires decision.""","Diplomacy before bloodshed; send peace envoys.",5,15,-20,10,"Show no weakness; mobilize for immediate conflict.",-5,-15,30,-25,,,,,090
090,General,"The commander presents strategic options: ""Your military response shapes international relations. Tactical approaches await.""",Defensive posture protecting our territories only.,10,10,-10,0,Preemptive strike seeking decisive advantage.,-10,-20,30,-30,089,Right,,,
091,Royal Physician,"The doctor appears concerned: ""A mysterious ailment affects your health, Your Majesty. Treatment options exist.""","Traditional remedies have proven reliable.",20,-5,0,-10,"Medical science advances daily; try experimental treatment.",-20,10,0,-15,,,,,092
092,Royal Physician,"The healer discusses recovery progress: ""Your treatment decision affects your health. Ongoing therapeutic approaches await.""",Religious healing emphasizing prayer and faith.,25,-10,0,-5,Scientific methodologies based on observation.,-25,15,0,-15,091,Right,,,
093,Master of Coin,"The treasurer appears alarmed: ""Financial crisis looms, Your Majesty. Emergency measures are required.""","Stability through tradition; maintain current policies.",10,-20,0,-15,"Bold action prevents collapse; implement reforms!",-10,15,0,20,,,,,094
094,Master of Coin,"The financial expert presents recovery plans: ""Your crisis response shapes economic stability. Monetary approaches await.""",Conservative fiscal policy maintaining currency value.,15,-10,0,-20,Inflationary measures stimulating rapid growth.,-15,5,0,15,093,Right,,,
095,Court Mystic,"The seer's eyes appear unfocused: ""Dark omens fill the stars, Your Highness. The people grow fearful of divine punishment.""","Superstition breeds only fear; denounce such nonsense.",20,-20,0,0,"Cosmic forces affect us all; hold protective ceremonies.",-20,15,0,-10,,,,,096
096,Court Mystic,"The occultist interprets signs: ""Your response to omens affects public perception. Spiritual approaches await.""",Scientific explanation of natural phenomena.,15,-15,5,-5,Religious interpretation acknowledging divine will.,-25,20,-5,-10,095,Left,,,
097,Foreign Ambassador,"The diplomat speaks urgently: ""War engulfs our neighbors, Your Majesty. They request your position.""",Declare strict neutrality avoiding entanglement.,0,10,-15,10,Choose a side and commit support to allies.,0,-15,25,-25,,,,,098
098,Foreign Ambassador,"The envoy discusses international implications: ""Your war stance shapes alliances. Diplomatic approaches await.""",Humanitarian aid to affected populations only.,5,15,-10,-10,Military advisors and equipment for chosen allies.,-5,-10,20,-20,097,Right,,,
099,Master Builder,"The engineer presents urgent reports: ""Structural failures threaten the capital, Your Majesty. Infrastructure crumbles.""",Focus repairs on essential royal facilities.,10,-25,0,-10,Prioritize public infrastructure used by all citizens.,-10,30,0,-20,,,,,100
100,Master Builder,"The architect discusses reconstruction priorities: ""Your infrastructure decision shapes urban development. Building approaches await.""",Monumental reconstruction demonstrating royal power.,15,-15,5,-20,Practical improvements enhancing quality of life.,-10,25,-5,-15,099,Right,,,
101,Royal Advisor,"The advisor's expression is grave: ""Border disputes escalate with our eastern neighbor, Your Majesty. Territorial claims conflict.""","Historic boundaries must be defended at all costs.",0,-5,20,-15,"Compromise preserves peace; offer partial concessions.",0,15,-15,5,,,,,102
102,Royal Advisor,"The counselor presents diplomatic options: ""Your border stance affects international relations. Resolution approaches differ.""",Increase military presence to reinforce our claim.,5,-10,25,-20,Propose joint administration of disputed territories.,-5,20,-10,0,101,Right,,,
103,Royal Seneschal,"The seneschal presents household accounts: ""Palace expenses grow unsustainable, Your Highness. Budget priorities require attention.""","Royal dignity demands splendor; maintain current spending.",5,-15,0,-20,"Practical governance requires prudence; reduce court expenses.",-5,20,0,15,,,,,104
104,Royal Seneschal,"The household manager details expenditures: ""Your budget decision affects court operations. Spending priorities await.""",Reduce staff numbers while maintaining luxury items.,10,-20,5,10,Cut ceremonial expenses while preserving employment levels.,-10,25,-5,5,103,Right,,,
105,Master of Coin,"The treasurer presents tax ledgers: ""Rural districts struggle with harvest tithes, Sire. Collection methods cause discontent.""","The crown's needs are paramount; enforce full collection.",10,-25,0,20,"Prosperity requires flexibility; allow partial deferrals.",-5,20,0,-15,,,,,106
106,Master of Coin,"The financial administrator discusses regional variations: ""Your tax enforcement decision affects provincial stability. Collection approaches differ.""",Send royal officials to oversee direct collection.,5,-15,10,15,Delegate collection authority to local leaders with quotas.,-5,10,-5,5,105,Left,,,
107,Sheriff,"The sheriff kneels urgently: ""Outlaws organize in the northern forests, Your Majesty. They style themselves freedom fighters.""","Rebellion cannot be tolerated; crush them mercilessly.",0,-20,15,-15,"Their grievances may have merit; investigate their claims.",-5,25,-10,-5,,,,,108
108,Sheriff,"The law officer presents intelligence: ""Your outlaw response shapes rural security. Legal approaches await.""",Public executions of captured bandits as examples.,10,-25,20,-10,Offer amnesty to those who surrender and make restitution.,-15,30,-5,-5,107,Right,,,
109,Royal Herald,"The herald presents communication concerns: ""Provincial governors misrepresent your proclamations, Sire. Message control weakens.""","Local interpretation maintains flexibility; allow variation.",5,-10,0,0,"Royal authority requires consistency; standardize delivery.",-5,15,5,-10,,,,,110
110,Royal Herald,"The communications master discusses information flow: ""Your standardization policy affects governance. Implementation methods differ.""",Written proclamations distributed to educated officials.,10,-15,5,-5,Public readings in village squares ensuring wider reach.,-10,25,0,-10,109,Right,,,
111,Master of Ceremonies,"The protocol master appears distressed: ""Foreign dignitaries arrive tomorrow, Your Majesty. Their customs conflict with our traditions.""","Our ways demonstrate our values; maintain our protocol.",15,-10,5,0,"Diplomacy requires accommodation; adapt our ceremonies.",-5,15,-5,-5,,,,,112
112,Master of Ceremonies,"The etiquette expert discusses cultural differences: ""Your protocol decision affects diplomatic relations. Reception approaches vary.""",Minimal accommodation preserving core traditions.,10,-5,0,-5,Comprehensive adaptation embracing foreign customs.,-15,20,-10,0,111,Right,,,
113,Royal Diplomat,"The diplomat returns from negotiations: ""Border provinces seek trade exemptions, Your Majesty. Local governors support their petition.""","Uniform rules ensure fairness; reject special treatment.",10,-15,5,10,"Border economies have unique needs; grant exemptions.",-5,20,0,-5,,,,,114
114,Royal Diplomat,"The negotiator presents economic projections: ""Your trade exemption decision affects regional development. Regulatory approaches await.""",Limited exemptions with strict oversight and duration.,5,-5,0,5,Comprehensive regional autonomy in trade matters.,-10,25,-5,-10,113,Right,,,
115,Foreign Ambassador,"The ambassador's expression is hopeful: ""My sovereign proposes a mutual defense pact, Your Majesty. War clouds gather.""","Independent action preserves freedom; decline respectfully.",0,-5,15,5,"Allied strength ensures security; accept the proposal.",0,10,-10,-10,,,,,116
116,Foreign Ambassador,"The diplomat discusses treaty details: ""Your alliance decision shapes international standing. Commitment levels vary.""",Limited agreement focusing on intelligence sharing.,0,0,5,0,Full military integration with joint command structures.,-5,-5,20,-15,115,Right,,,
