ID,Character,Prompt,Left Choice,Left Church,Left People,Left Military,Left Treasury,Right Choice,Right Church,Right People,Right Military,Right Treasury
011,Knight,"The knight's armor gleams in the throne room light: ""By honor and duty, my liege. Shall we establish a new order of knights?""","The old traditions serve us well enough; the throne has spoken.",10,0,-10,10,"A new brotherhood of steel shall protect our realm.",-10,0,10,-10
012,Queen,"The queen places a gentle hand on yours: ""For the dynasty, my love. Shall we arrange a royal marriage alliance?""","Our bloodline needs no foreign influence; the throne has spoken.",-10,0,10,0,"Unite our houses; strengthen the realm through bonds of family.",10,0,-10,0
013,Peasant,"The peasant trembles before your throne: ""The people hunger, Your Majesty. Shall we distribute royal grain reserves?""","The crown's stores are not for common mouths; be gone.",10,-15,0,5,"Feed my people; no subject shall starve under my rule.",-10,15,0,-5
014,Captain,"The captain salutes sharply: ""The seas await your command, Sire. Shall we expand the royal fleet?""","Our domain is the land, not the treacherous waters; the throne has spoken.",0,-5,10,-15,"The waves shall carry our banner; build ships worthy of our glory.",0,5,-10,15
015,Priest,"The priest clutches his holy book: ""The divine will guides us, Your Grace. Shall we build a new cathedral?""","Our existing temples suffice for prayer; save the stone.",15,-5,0,-10,"Raise a monument to faith that touches the heavens!",-15,5,0,10
016,Banker,"The banker's quill never stops moving: ""The treasury requires attention, Your Majesty. Shall we debase the currency?""","The royal coin must remain pure; our honor demands it.",5,10,0,-15,"A little less gold, a little more coin; none shall notice.",-5,-10,0,15
017,Doctor,"The doctor's hands are stained with remedies: ""The plague spreads, my lord. Shall we quarantine the afflicted?""","Each must face their fate; the gods decide who lives.",20,-20,0,-5,"Isolate the sick; protect the healthy at all costs.",-20,20,0,5
018,Alchemist,"The alchemist's eyes gleam with mad brilliance: ""My latest formula promises wonders, Sire. Shall we fund alchemical research?""","Your potions and powders are mere trickery; the throne has spoken.",15,-5,0,-10,"Gold from lead! Eternal life! Fund everything!",-15,5,0,10
019,Builder,"The builder unfurls dusty plans: ""Your castle could rival the heavens, Your Highness. Shall we expand the royal palace?""","The stones stand strong already; save your ambitions.",0,-10,0,15,"A monument to match my greatness; begin construction!",0,10,0,-15
020,Ambassador,"The ambassador bows with foreign grace: ""Your Illustrious Majesty, shall we negotiate peace with our enemies?""","Peace is weakness; we show strength through steel alone.",0,-10,15,-5,"A wise ruler knows when to extend the olive branch.",0,10,-15,5
021,Astrologer,"The astrologer points to shifting star charts: ""The celestial signs portend great change, my king. Shall we consult the stars before decisions?""","Superstitious nonsense; we make our own destiny.",15,-10,0,0,"The heavens shall guide our kingdom's path.",-15,10,0,0
022,Scholar,"The scholar's fingers are stained with ink: ""Knowledge awaits, Your Majesty. Shall we establish a royal library?""","Books breed dangerous ideas; the people need no learning.",10,-15,0,-5,"Wisdom shall be our kingdom's foundation.",-10,15,0,5
023,Hunter,"The hunter lays a magnificent trophy at your feet: ""The royal forests teem with game, Sire. Shall we host a grand royal hunt?""","The beasts may wait; we have weightier concerns.",0,-5,5,10,"Sound the horns! We ride at dawn!",0,5,-5,-10
024,Executioner,"The executioner sharpens his axe methodically: ""Justice demands blood, Your Highness. Shall we hold public executions?""","Show mercy; the dungeon suffices for now.",15,10,-5,0,"Let the people witness the price of defiance.",-15,-10,5,0
025,Spy,"The spy emerges from shadows you didn't know existed: ""Whispers from enemy lands, my liege. Shall we expand our network of spies?""","Trust in strength, not in secrets and daggers; the throne has spoken.",5,0,-10,10,"Eyes and ears in every court shall be our advantage.",-5,0,10,-10
026,Jester,"The jester's eyes betray unusual seriousness: ""Behind my foolery, I hear much, my king. Shall we mock the cardinal at tonight's feast?""","Even a fool should know better than to target the church; the throne has spoken.",15,-5,0,0,"Make him the laughingstock of the realm; it will diminish his influence.",-15,5,0,0
027,Treasurer,"The treasurer nervously unfurls a lengthy scroll: ""Your Majesty, the accounts are troubling. Shall we consider new methods of taxation?""","The old ways have served us well; maintain tradition.",0,10,0,-15,"Innovation in collection shall fill our coffers.",0,-10,0,15
028,Foreign Prince,"The handsome foreign prince kneels elegantly: ""My father sends his regards, Your Majesty. Shall we discuss an alliance through marriage?""","We need no foreign blood in our royal line; the throne has spoken.",-5,-5,10,0,"Strengthen our kingdoms through matrimonial bonds.",5,5,-10,0
029,Militia Captain,"The militia captain stands at attention: ""The people wish to defend themselves, Sire. Shall we permit civilian armament?""","Only the crown's forces may bear arms; disarm them all.",5,-20,15,0,"A kingdom where every subject can fight is stronger.",-5,20,-15,0
030,Royal Chef,"The royal chef presents a sumptuous dish: ""Your palate deserves only the finest, my king. Shall we import exotic spices for the royal table?""","Local flavors suffice; no need for foreign extravagance.",0,-5,0,10,"Tantalize my senses with flavors from distant lands!",0,5,0,-10
031,Armourer,"The armourer's hands are calloused and strong: ""The royal guards need better protection, Your Majesty. Shall we commission new armor designs?""","Our current equipment serves well enough; save the metal.",0,0,-10,15,"Outfit our forces in steel that reflects our glory!",0,0,10,-15
032,Merchant Guild Master,"The guild master bows deeply: ""Commerce flows like a river, Your Highness. Shall we establish new trade routes?""","Our kingdom is self-sufficient; we need no foreign goods.",5,-10,0,5,"Expand our influence through coin and commerce.",-5,10,0,-5
033,Poet,"The poet dramatically clutches his heart: ""Your reign inspires verses divine, my liege. Shall we fund a royal cultural renaissance?""","Art is a frivolity we cannot afford; the throne has spoken.",10,-15,0,-5,"Beauty and culture shall define our golden age.",-10,15,0,5
034,Apothecary,"The apothecary offers a vial of swirling liquid: ""My newest remedy cures all ills, Your Grace. Shall we distribute medicines to all citizens?""","Let nature take its course; the strong survive.",15,-20,0,-5,"A healthy kingdom is a powerful kingdom.",-15,20,0,5
035,Tax Collector,"The tax collector's coin purse jingles ominously: ""The treasury requires replenishment, Sire. Shall we increase collection efforts?""","The people strain under current demands; show restraint.",5,15,0,-20,"Squeeze every coin from every purse; the crown must have its due.",-5,-15,0,20
036,Archbishop,"The archbishop's robes shimmer with golden thread: ""The church requires your support, Your Majesty. Shall we enforce mandatory tithes?""","The faith must win hearts through devotion, not coercion.",-15,10,0,5,"All subjects shall support the divine work of the church.",15,-10,0,-5
037,Court Painter,"The court painter's clothes are splattered with vibrant colors: ""Your visage deserves immortalizing, my king. Shall we commission royal portraits across the kingdom?""","Vanity projects waste precious resources; the throne has spoken.",0,-5,0,10,"Let my image inspire awe in every corner of the realm!",0,5,0,-10
038,Foreign Merchant,"The foreign merchant displays exotic wares: ""Treasures from across the seas, Your Excellency. Shall we allow foreign trade markets?""","Foreign goods corrupt our way of life; close the borders.",5,-15,0,10,"The world's riches shall flow into our kingdom.",-5,15,0,-10
039,Royal Gardener,"The royal gardener presents rare seedlings: ""The palace grounds could rival paradise, Your Grace. Shall we expand the royal gardens?""","The land should yield food, not flowers; the throne has spoken.",5,-5,0,10,"A verdant paradise shall showcase our refinement.",-5,5,0,-10
040,Cartographer,"The cartographer unfurls detailed maps: ""Unexplored territories beckon, my liege. Shall we fund expeditions to chart unknown lands?""","Our kingdom's boundaries are well enough known; save the coin.",0,-10,5,10,"Knowledge of new frontiers shall expand our dominion!",0,10,-5,-10
041,Shepherd,"The shepherd leans on his weathered staff: ""The wolves grow bold, Your Majesty. Shall we organize hunts to cull their numbers?""","Nature must balance itself; we shall not intervene.",10,-15,0,5,"Protect our flocks; hunt down every last predator.",-10,15,0,-5
042,Foreign Diplomat,"The foreign diplomat speaks with an exotic accent: ""My emperor extends greetings, Your Highness. Shall we establish formal diplomatic relations?""","We need no foreign entanglements; our kingdom stands alone.",0,-5,10,-5,"Bridges between realms benefit all who cross them.",0,5,-10,5
043,Court Magician,"The court magician's robes shimmer with arcane energy: ""The stars align for greatness, Sire. Shall we conduct a royal magical ceremony?""","Sorcery has no place in matters of state; the throne has spoken.",20,-10,0,-5,"The arcane shall enhance our rule; proceed with the ritual.",-20,10,0,5
044,Master Blacksmith,"The blacksmith's muscled arms are crossed confidently: ""Our weapons could be unmatched, my king. Shall we develop new smithing techniques?""","Traditional methods have served us well; maintain the old ways.",0,-5,10,-10,"Forge innovations that make our steel legendary!",0,5,-10,10
045,Royal Architect,"The architect presents intricate designs: ""Your legacy could stand for centuries, Your Majesty. Shall we build monuments to your reign?""","A true legacy lies in peace and prosperity, not stone.",10,-10,0,-10,"My name shall echo through the ages in stone and marble.",-10,10,0,10
046,Court Jester,"The jester cartwheels dramatically: ""Laughter heals all woes, my king! Shall we hold a festival of fools?""","Frivolity serves no purpose in these serious times.",10,-15,0,-5,"Let merriment flood the kingdom; approve the festivities!",-10,15,0,5
047,Royal Physician,"The physician adjusts his spectacles nervously: ""A new malady spreads, Your Highness. Shall we quarantine affected villages?""","The sickness must run its course; the strong will survive.",20,-20,0,-5,"Protect the realm; isolate the contagion at all costs.",-20,20,0,5
048,Miller,"The miller's clothes are dusted with flour: ""Grain prices rise, Your Majesty. Shall we regulate the cost of bread?""","Markets must remain free; intervention breeds dependency.",5,-20,0,15,"No subject shall starve while grain sits in storehouses.",-5,20,0,-15
049,Captain of the Guard,"The captain touches his sword hilt: ""Whispers of conspiracy echo, my liege. Shall we increase palace security?""","Paranoia makes poor policy; maintain normal vigilance.",0,5,-10,10,"Trust no one; double the guards and watch the watchers!",0,-5,10,-10
050,Master of Coin,"The Master of Coin presents leather-bound ledgers: ""Our treasury faces challenges, Your Majesty. Shall we mint more currency?""","Debasement leads to ruin; maintain our standards.",10,10,0,-20,"Silver becomes copper, copper becomes plenty.",-10,-10,0,20
051,Court Astronomer,"The astronomer points excitedly at star charts: ""A comet approaches, Sire! Shall we declare it an omen of your divine rule?""","Science, not superstition, guides our understanding.",20,-15,0,-5,"Proclaim our celestial blessing throughout the kingdom!",-20,15,0,5
052,Royal Vintner,"The vintner offers a goblet of deep red wine: ""This harvest promises exceptional vintage, Your Grace. Shall we expand the royal vineyards?""","Wine clouds judgment; we need clear minds.",10,-5,0,-5,"A kingdom known for its wines gains prestige abroad.",-10,5,0,5
053,Master at Arms,"The Master at Arms demonstrates a new fighting technique: ""Our soldiers could be unmatched, my king. Shall we implement new training regimens?""","Traditional methods have proven effective; the throne has spoken.",0,0,-10,10,"Forge an army whose skill terrifies our enemies!",0,0,10,-10
054,Court Historian,"The historian clutches ancient manuscripts: ""Your ancestors' wisdom awaits, Your Majesty. Shall we study the chronicles of past rulers?""","The past is dead; we look to the future.",15,-5,0,-5,"Those who forget history are doomed to repeat its failures.",-15,5,0,5
055,Guild Representative,"The guild representative bows formally: ""The craftsmen seek your blessing, Sire. Shall we standardize guild regulations?""","Let each guild manage its own affairs; the throne has spoken.",0,-10,0,10,"Unified standards shall improve quality across the realm!",0,10,0,-10
056,Foreign Queen,"The visiting queen's beauty is matched by her regal bearing: ""My kingdom offers friendship, Your Majesty. Shall we sign a mutual defense pact?""","Alliances entangle us in others' conflicts; we stand alone.",0,-5,15,-10,"United kingdoms present a stronger front against common foes.",0,5,-15,10
057,Royal Huntsman,"The huntsman kneels, presenting rare game: ""The royal forests overflow with bounty, my liege. Shall we host a magnificent hunt for visiting dignitaries?""","Such extravagance serves no purpose; tend to serious matters.",5,-10,5,10,"Showcase our kingdom's splendor through glorious sport!",-5,10,-5,-10
058,Court Composer,"The composer hums a melodic tune: ""Music elevates the soul, Your Highness. Shall we establish a royal orchestra?""","Frivolous entertainments drain the treasury; the throne has spoken.",5,-10,0,-5,"Harmony and beauty shall be hallmarks of our enlightened rule.",-5,10,0,5
059,Master Engineer,"The engineer presents intricate mechanical designs: ""Progress awaits your command, Sire. Shall we develop new siege engines?""","Traditional warfare has served us well; save the resources.",0,5,-15,10,"Innovation in destruction shall make our enemies tremble!",0,-5,15,-10
060,Court Astrologer,"The astrologer studies your palm intently: ""The stars whisper of approaching events, my king. Shall we adjust policies based on celestial alignments?""","Superstitions guide weak minds; we rule by reason.",15,-15,0,0,"The cosmos reveals paths invisible to ordinary eyes.",-15,15,0,0
061,Master Jeweler,"The jeweler displays a magnificent crown: ""Your regalia could outshine all others, Your Majesty. Shall we commission new royal jewels?""","Ostentation serves vanity, not the kingdom; the throne has spoken.",5,-10,0,-15,"Let all who gaze upon our splendor be humbled!",-5,10,0,15
062,Ambassador of Faith,"The religious envoy prostrates himself: ""Divine truth seeks new lands, Great One. Shall we welcome missionaries into our kingdom?""","Our people's faith is their own affair; foreigners may corrupt.",15,-10,0,-5,"All perspectives on the divine enrich our spiritual landscape.",-15,10,0,5
063,Festival Organizer,"The organizer's enthusiasm is infectious: ""The people yearn for celebration, Your Highness. Shall we declare a national holiday in your honor?""","Productivity wanes with excessive merriment; the throne has spoken.",5,-15,0,-10,"Let every corner of the realm rejoice in our magnificent rule!",-5,15,0,10
064,Naval Commander,"The commander's uniform bears marks of distant campaigns: ""Our shores remain vulnerable, my liege. Shall we expand our naval defenses?""","The sea presents no threat worth this expense.",0,0,-15,15,"No enemy shall approach by water and live to tell the tale!",0,0,15,-15
065,Court Alchemist,"The alchemist holds a vial of swirling liquid: ""This elixir promises extended life, Your Grace. Shall we invest in alchemical immortality research?""","Nature's course should not be perverted; accept mortality.",15,-5,0,-10,"The secret to eternal rule lies within our grasp!",-15,5,0,10
066,Master Mason,"The mason presents stone samples: ""Your fortress could be impenetrable, Sire. Shall we reinforce the kingdom's defenses?""","Our walls stand strong enough; save the stone.",0,0,-10,15,"No army shall breach fortifications of my design!",0,0,10,-15
067,Royal Falconer,"The falconer's magnificent bird perches regally: ""The sky holds secrets, Your Majesty. Shall we breed hunting falcons for the nobility?""","Birds of prey serve no practical purpose; the throne has spoken.",10,-5,0,-5,"Noble pursuits befit a noble realm.",-10,5,0,5
068,Court Wizard,"The wizard's eyes reflect mysteries beyond mortal ken: ""Dark forces gather, my king. Shall we establish a royal order of mystics?""","Magic breeds corruption; banish these practices.",20,-15,0,-5,"Arcane power shall supplement our mundane strength.",-20,15,0,5
069,Foreign Merchant Prince,"The exotic prince offers rare treasures: ""My caravans bring wonders from afar, Your Excellency. Shall we grant exclusive trading rights?""","Foreign influence weakens traditional markets; the throne has spoken.",5,-15,0,10,"Exotic goods shall enrich our kingdom's experience.",-5,15,0,-10
070,Master Shipwright,"The shipwright's plans show vessels of unprecedented size: ""The seas await conquest, Your Majesty. Shall we build a grand armada?""","Our domain is land, not treacherous waters.",0,0,-15,15,"Our flag shall fly over distant shores!",0,0,15,-15
071,Royal Cartographer,"The cartographer unveils detailed maps: ""Your realm's borders could expand, my liege. Shall we fund exploration of unknown territories?""","Our current lands suffice; focus inward, not outward.",0,-10,10,-5,"Chart every horizon; discover lands worthy of our rule!",0,10,-10,5
072,Court Physician,"The physician presents medical instruments: ""Disease spreads among the common folk, Your Highness. Shall we establish public hospitals?""","The weak must fend for themselves; nature culls the unfit.",15,-20,0,-10,"A healthy populace makes a stronger kingdom.",-15,20,0,10
073,Master of Hounds,"The kennel master's dogs heel perfectly: ""These beasts track any prey, Sire. Shall we expand the royal hunting grounds?""","Game is scarce enough without claiming more land.",10,-15,0,-5,"Our hunts shall be legendary in scale and bounty!",-10,15,0,5
074,Foreign Ambassador,"The ambassador speaks with practiced diplomacy: ""My emperor extends his hand in friendship, Your Majesty. Shall we establish a trade agreement?""","Foreign goods undermine our self-reliance; the throne has spoken.",0,-15,0,15,"Prosperity flows along routes of mutual exchange.",0,15,0,-15
075,Court Seer,"The seer's milky eyes seem to look through you: ""Visions trouble my sleep, my king. Shall we heed the warnings of prophetic dreams?""","Governance requires reason, not night terrors.",15,-15,0,0,"The veil between worlds thins; we must prepare.",-15,15,0,0
076,Master Chef,"The chef presents an elaborate feast design: ""Your banquet could become legendary, Your Grace. Shall we import exotic ingredients from abroad?""","Local fare suffices; extravagance wastes resources.",5,-10,0,-5,"Culinary diplomacy impresses even the most hardened rivals.",-5,10,0,5
077,Royal Botanist,"The botanist tenderly handles rare seedlings: ""These plants hold medicinal secrets, Sire. Shall we establish royal botanical gardens?""","Folk remedies have served the people well enough; the throne has spoken.",10,-5,0,-10,"Scientific understanding of nature's gifts shall benefit all.",-10,5,0,10
078,Master Brewer,"The brewer offers a foaming tankard: ""This new recipe pleases all palates, Your Majesty. Shall we establish royal breweries?""","Alcohol dulls the mind and weakens resolve.",5,-15,0,-5,"A content populace drinks to their ruler's health!",-5,15,0,5
079,Court Geographer,"The geographer points to mountain passes on a map: ""These routes remain vulnerable, my liege. Shall we fortify our border crossings?""","Mountains themselves provide sufficient barriers; save the stone.",0,0,-10,15,"No enemy shall breach our realm through unguarded passes!",0,0,10,-15
080,Foreign Princess,"The princess curtsies with practiced grace: ""My father sends his regards, Your Highness. Shall we discuss a matrimonial alliance?""","Political marriages breed more problems than solutions.",5,-5,10,-10,"Unite our bloodlines; strengthen our diplomatic bonds.",-5,5,-10,10
081,Court Dancer,"The dancer moves with hypnotic grace: ""Art uplifts the spirit, my king. Shall we establish a royal dance academy?""","Frivolous entertainments drain resources; the throne has spoken.",5,-15,0,-5,"Cultural refinement elevates our kingdom among nations.",-5,15,0,5
082,Master of the Hunt,"The huntmaster's bow shows exquisite craftsmanship: ""The royal forests teem with game, Your Majesty. Shall we declare a new hunting season?""","Let the beasts multiply for future harvests.",10,-10,0,-5,"Sound the horns! We hunt at dawn!",-10,10,0,5
083,Royal Treasurer,"The treasurer anxiously reviews scrolls of figures: ""Our expenses outpace income, Sire. Shall we reduce spending on military affairs?""","The army is our strength; find savings elsewhere.",0,10,-20,15,"Peace through diplomacy costs less than war.",0,-10,20,-15
084,Court Mystic,"The mystic's hands weave patterns in the air: ""Dark omens gather, Your Grace. Shall we conduct protective rituals for the kingdom?""","Superstition has no place in governance; the throne has spoken.",20,-10,0,-5,"Unseen forces require unseen counters; proceed with caution.",-20,10,0,5
085,Master Carpenter,"The carpenter presents models of elaborate structures: ""Your palace could inspire awe, my liege. Shall we expand the royal residence?""","Practicality outweighs grandeur; our current halls suffice.",5,-10,0,-15,"A ruler's dwelling reflects their greatness; begin construction!",-5,10,0,15
086,Foreign Merchant Guild,"The guild representative offers exotic samples: ""Trade routes await your blessing, Your Majesty. Shall we permit foreign merchant guilds?""","Our own merchants deserve protection from outside competition.",5,-15,0,10,"Commerce knows no borders; wealth flows where trade is free.",-5,15,0,-10
087,Court Poet,"The poet recites with dramatic flourish: ""Your deeds deserve immortalizing, Sire. Shall we commission an epic ballad of your reign?""","Deeds speak louder than verses; save the ink.",10,-5,0,-5,"My legacy shall echo through generations in song and story!",-10,5,0,5
088,Master of Ceremony,"The master of ceremonies bows with perfect form: ""Protocol defines greatness, Your Highness. Shall we elaborate the court etiquette?""","Substance matters more than ceremony; the throne has spoken.",15,-15,0,-5,"Ritual and tradition elevate our court above all others.",-15,15,0,5
089,Royal Astronomer,"The astronomer points excitedly to star charts: ""The heavens reveal patterns, my king. Shall we build an observatory tower?""","Stars offer pretty lights, nothing more.",15,-5,0,-10,"Celestial knowledge shall guide our kingdom's destiny.",-15,5,0,10
090,Merchant,"The merchant unfurls magnificent silk samples: ""Eastern markets await, Your Majesty. Shall we establish a trading company in your name?""","Foreign entanglements bring more risk than reward.",0,-15,0,15,"Our influence shall spread with our goods across distant lands.",0,15,0,-15
091,Cardinal,"The cardinal leans close, voice hushed: ""Heretical whispers grow louder, Sire. Shall we strengthen the Inquisition's powers?""","Faith flourishes through example, not force.",20,-20,0,-5,"Purify the kingdom of dangerous thoughts; empower the faithful.",-20,20,0,5
092,Banker,"The banker's fingers drum nervously on ledgers: ""Financial innovations beckon, Your Grace. Shall we establish a royal bank?""","Traditional methods of finance have served us well.",5,-10,0,-15,"Modernize our economy; control the flow of wealth!",-5,10,0,15
093,Captain,"The captain's weathered face tells tales of distant voyages: ""Uncharted waters hold promises, my liege. Shall we fund an expedition to distant shores?""","The known world satisfies our needs; save the resources.",0,-5,10,-15,"Plant our flag on lands no countryman has seen!",0,5,-10,15
094,General,"The general spreads maps across your table: ""Our neighbors grow weak, Your Majesty. Shall we seize this moment to expand our borders?""","Peace brings its own prosperity; the throne has spoken.",10,-5,15,-20,"Strike while they cannot defend themselves; glory awaits!",-10,5,-15,20
095,Priest,"The priest's humble appearance belies his intensity: ""The common folk stray from righteousness, Sire. Shall we enforce religious observance?""","Faith compelled is no faith at all.",15,-15,0,0,"Guide the wayward flock back to proper devotion.",-15,15,0,0
096,Apothecary,"The apothecary reveals vials of colorful liquids: ""New remedies could save countless lives, Your Highness. Shall we regulate medical practices?""","Each healer must follow their own wisdom; the throne has spoken.",10,-15,0,-5,"Standardize treatments; protect our people from charlatans.",-10,15,0,5
097,Artist,"The artist's hands are stained with vibrant pigments: ""Beauty elevates the soul, my king. Shall we commission public art throughout the kingdom?""","Practical concerns outweigh aesthetic indulgences.",5,-10,0,-10,"Transform our realm into a canvas worthy of our greatness!",-5,10,0,10
098,Scholar,"The scholar's eyes gleam with intellectual passion: ""Knowledge awaits cultivation, Your Majesty. Shall we establish a royal university?""","Education breeds dissent; the common folk need no learning.",15,-20,0,-10,"Enlightenment shall be our kingdom's greatest achievement.",-15,20,0,10
099,Diplomat,"The diplomat speaks with measured precision: ""Tensions rise with neighboring kingdoms, Sire. Shall we host a peace summit?""","Strength is the only language our rivals understand.",0,-10,15,-5,"Peaceful resolution spares blood and treasure.",0,10,-15,5
100,Advisor,"Your closest advisor speaks in hushed tones: ""The future of the realm hangs in balance, Your Grace. Shall we implement sweeping reforms?""","Tradition has guided us thus far; maintain our course.",15,-15,0,-10,"Bold change forges new destinies; the time for action is now!",-15,15,0,10
101,Plague Doctor,"The masked physician presents a vial of murky liquid: ""The pestilence spreads, Your Majesty. Shall we try my experimental treatment?""","Science meddles with God's will; we shall pray for salvation.",18,-15,0,0,"Distribute it immediately; we must try something new!",-18,15,0,0
102,Royal Architect,"The architect unfurls elaborate plans: ""Your Highness, the capital lacks grandeur. Shall we demolish the old quarter for magnificent boulevards?""","The old stones tell our history; preserve what came before.",5,15,0,-20,"A modern capital befits our dynasty; commence the work!",-5,-15,0,20
103,War Minister,"The minister's eyes gleam with ambition: ""Our neighbors grow weak while we grow strong, Sire. Shall we strike now?""","Peace brings prosperity; war brings widows.",0,17,-20,10,"Their weakness is our opportunity; prepare the armies!",0,-17,20,-10
104,Court Musician,"The musician bows nervously: ""Sire, foreign melodies are becoming popular in taverns. Shall we promote traditional songs instead?""","Yes, preserve our cultural heritage in music.",7,-5,0,0,"Let people enjoy what pleases them; music knows no borders.",-7,5,0,0
105,Royal Gardener,"The gardener presents exotic seeds: ""Your Majesty, these foreign plants could beautify the palace grounds. Shall we replace our native flora?""","Our native plants reflect our kingdom's spirit; keep them.",3,8,0,-2,"Beauty from abroad will impress foreign dignitaries.",-3,-8,0,2
106,Shadow Broker,"A cloaked figure emerges from darkness: ""Secrets of your enemies, my liege. Shall we expand our network of informants?""","Honorable kings need no spies; dismiss this skulker.",10,5,-12,8,"Knowledge is power; let the shadows serve us.",-10,-5,12,-8
107,Mine Overseer,"The overseer's clothes are stained with ore dust: ""The deep shafts grow dangerous, Your Highness. Shall we improve mining safety?""","Miners know the risks of their profession; continue operations.",5,-18,0,12,"No subject shall perish for our coffers; implement protections.",-5,18,0,-12
108,Foreign Emissary,"The emissary offers sealed documents: ""My ruler proposes alliance, Your Majesty. Shall we join forces against the eastern threat?""","Entanglements abroad weaken focus at home.",0,4,-15,10,"United we stand stronger; accept the alliance.",0,-4,15,-10
109,Guild Leader,"The craftsman speaks with pride: ""Our wares gain fame, Sire. Shall we establish a royal seal of quality?""","Each artisan must stand on their own merit.",0,-7,0,3,"Excellence deserves recognition; create the royal standard.",0,7,0,-3
110,Village Shaman,"The shaman rattles bones in a pouch: ""The spirits grow restless, my king. Shall we honor the old ways alongside the new faith?""","There is one true faith; these practices are forbidden.",15,-10,0,0,"Ancient wisdom complements modern belief; permit the rituals.",-15,10,0,0
111,Tax Assessor,"The assessor nervously adjusts his spectacles: ""The noble estates remain under-taxed, Your Grace. Shall we reassess aristocratic holdings?""","The nobility are the kingdom's foundation; leave them be.",8,-6,5,-15,"All must contribute their fair share; begin the reassessment.",-8,6,-5,15
112,Royal Butcher,"The butcher wipes bloody hands on his apron: ""Meat prices soar, Your Majesty. Shall we impose price controls?""","Markets must find their balance naturally.",0,-12,0,6,"The people must afford food; set maximum prices.",0,12,0,-6
113,Court Jester,"The jester's bells jingle as he kneels: ""Your frown deepens daily, my king. Shall we declare a week of festivities to lighten spirits?""","Frivolity wastes resources; the kingdom faces serious matters.",0,-13,0,8,"Laughter strengthens loyalty; let the celebrations begin!",0,13,0,-8
114,Spymaster,"The spymaster whispers urgently: ""Traitors lurk within your council, Sire. Shall we conduct secret investigations?""","Paranoia destroys kingdoms; I trust my advisors.",6,9,-14,0,"Trust, but verify; root out any disloyal elements.",-6,-9,14,0
115,Harbor Master,"The weathered sailor presents port ledgers: ""Foreign ships crowd our docks, Your Highness. Shall we expand the harbor?""","Our current facilities suffice; foreigners can wait.",0,-8,0,12,"Trade brings prosperity; begin construction immediately.",0,8,0,-12
116,Royal Physician,"The physician's hands tremble slightly: ""Your health concerns me, my liege. Shall we reduce your public appearances?""","A king must be seen by his people; maintain all duties.",0,-6,4,0,"Wisdom knows when to rest; limit engagements temporarily.",0,6,-4,0
117,Border Captain,"The captain's armor bears dents from recent conflict: ""Raiders grow bold, Your Majesty. Shall we fortify the western villages?""","The army cannot protect every hamlet; villages must defend themselves.",0,-19,7,9,"No subject shall feel abandoned; build the fortifications.",0,19,-7,-9
