run_id,turns_survived,end_reason,final_piety,final_stability,final_power,final_wealth,min_piety,min_stability,min_power,min_wealth,max_piety,max_stability,max_power,max_wealth,avg_piety,avg_stability,avg_power,avg_wealth,std_piety,std_stability,std_power,std_wealth,left_choices,right_choices,risky_card,card_sequence,choice_sequence
25,11,Stability too high,65,100,85,-5,65.0,100.0,85.0,-5.0,65.0,100.0,85.0,-5.0,65.0,100.0,85.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"275,276,237,238,137,138,37,38,304,305,306","Left,Right,Right,Left,Right,Left,Left,Left,Right,Left,Left"
26,5,Stability too high,10,120,40,25,10.0,120.0,40.0,25.0,10.0,120.0,40.0,25.0,10.0,120.0,40.0,25.0,0.0,0.0,0.0,0.0,0,0,,"49,50,348,349,350","Right,Right,Left,Right,Right"
27,10,Stability too high,50,100,45,10,50.0,100.0,45.0,10.0,50.0,100.0,45.0,10.0,50.0,100.0,45.0,10.0,0.0,0.0,0.0,0.0,0,0,,"247,248,111,112,281,282,95,96,143,144","Left,Left,Right,Left,Left,Right,Right,Left,Left,Right"
28,4,Stability too high,40,120,35,20,40.0,120.0,35.0,20.0,40.0,120.0,35.0,20.0,40.0,120.0,35.0,20.0,0.0,0.0,0.0,0.0,0,0,,"304,305,306,307","Right,Left,Left,Left"
29,4,Power too high,60,65,100,15,60.0,65.0,100.0,15.0,60.0,65.0,100.0,15.0,60.0,65.0,100.0,15.0,0.0,0.0,0.0,0.0,0,0,,"316,317,318,27","Left,Left,Left,Left"
30,6,Wealth too low,55,70,90,-5,55.0,70.0,90.0,-5.0,55.0,70.0,90.0,-5.0,55.0,70.0,90.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"61,62,169,170,159,160","Left,Left,Right,Left,Left,Right"
31,6,Stability too high,55,105,60,25,55.0,105.0,60.0,25.0,55.0,105.0,60.0,25.0,55.0,105.0,60.0,25.0,0.0,0.0,0.0,0.0,0,0,,"187,188,373,374,165,166","Left,Left,Right,Right,Right,Right"
32,5,Stability too high,45,110,55,20,45.0,110.0,55.0,20.0,45.0,110.0,55.0,20.0,45.0,110.0,55.0,20.0,0.0,0.0,0.0,0.0,0,0,,"61,62,109,110,89","Left,Left,Right,Right,Left"
33,6,Stability too high,65,100,55,15,65.0,100.0,55.0,15.0,65.0,100.0,55.0,15.0,65.0,100.0,55.0,15.0,0.0,0.0,0.0,0.0,0,0,,"151,152,69,70,189,190","Right,Left,Right,Left,Left,Left"
34,6,Wealth too low,70,60,70,-5,70.0,60.0,70.0,-5.0,70.0,60.0,70.0,-5.0,70.0,60.0,70.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"87,88,1,2,259,260","Right,Left,Right,Left,Left,Left"
35,11,Stability too high,25,100,80,20,25.0,100.0,80.0,20.0,25.0,100.0,80.0,20.0,25.0,100.0,80.0,20.0,0.0,0.0,0.0,0.0,0,0,,"197,198,207,208,289,290,343,344,147,148,281","Left,Left,Left,Left,Right,Right,Left,Left,Left,Left,Right"
36,4,Wealth too low,50,70,85,0,50.0,70.0,85.0,0.0,50.0,70.0,85.0,0.0,50.0,70.0,85.0,0.0,0.0,0.0,0.0,0.0,0,0,,"23,24,387,388","Right,Left,Right,Left"
37,3,Stability too high,35,115,35,35,35.0,115.0,35.0,35.0,35.0,115.0,35.0,35.0,35.0,115.0,35.0,35.0,0.0,0.0,0.0,0.0,0,0,,"65,66,267","Left,Right,Right"
38,6,Piety too high,100,75,40,45,100.0,75.0,40.0,45.0,100.0,75.0,40.0,45.0,100.0,75.0,40.0,45.0,0.0,0.0,0.0,0.0,0,0,,"279,280,49,50,271,272","Right,Right,Left,Left,Left,Left"
39,8,Wealth too low,60,85,90,0,60.0,85.0,90.0,0.0,60.0,85.0,90.0,0.0,60.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,,"59,60,185,186,49,50,203,204","Right,Left,Right,Right,Left,Left,Right,Left"
40,3,Piety too high,110,-5,60,25,110.0,-5.0,60.0,25.0,110.0,-5.0,60.0,25.0,110.0,-5.0,60.0,25.0,0.0,0.0,0.0,0.0,0,0,,"345,346,347","Right,Left,Left"
41,3,Piety too low,0,105,80,20,0.0,105.0,80.0,20.0,0.0,105.0,80.0,20.0,0.0,105.0,80.0,20.0,0.0,0.0,0.0,0.0,0,0,,"121,122,269","Right,Right,Right"
42,12,Wealth too low,65,65,85,0,65.0,65.0,85.0,0.0,65.0,65.0,85.0,0.0,65.0,65.0,85.0,0.0,0.0,0.0,0.0,0.0,0,0,,"343,344,293,294,29,30,308,309,35,36,253,254","Right,Right,Left,Left,Left,Left,Right,Left,Left,Left,Left,Left"
43,6,Stability too high,55,100,20,40,55.0,100.0,20.0,40.0,55.0,100.0,20.0,40.0,55.0,100.0,20.0,40.0,0.0,0.0,0.0,0.0,0,0,,"89,90,356,357,358,207","Left,Left,Left,Left,Left,Left"
44,2,Stability too high,35,105,35,45,35.0,105.0,35.0,45.0,35.0,105.0,35.0,45.0,35.0,105.0,35.0,45.0,0.0,0.0,0.0,0.0,0,0,,"165,166","Right,Right"
45,2,Stability too high,10,100,50,15,10.0,100.0,50.0,15.0,10.0,100.0,50.0,15.0,10.0,100.0,50.0,15.0,0.0,0.0,0.0,0.0,0,0,,"53,54","Right,Right"
46,8,Wealth too low,40,90,75,-10,40.0,90.0,75.0,-10.0,40.0,90.0,75.0,-10.0,40.0,90.0,75.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"159,160,35,36,261,262,91,92","Right,Right,Left,Right,Left,Left,Left,Right"
47,2,Stability too high,30,105,45,15,30.0,105.0,45.0,15.0,30.0,105.0,45.0,15.0,30.0,105.0,45.0,15.0,0.0,0.0,0.0,0.0,0,0,,"99,100","Right,Right"
48,7,Stability too high,10,110,85,-15,10.0,110.0,85.0,-15.0,10.0,110.0,85.0,-15.0,10.0,110.0,85.0,-15.0,0.0,0.0,0.0,0.0,0,0,,"231,232,13,14,247,248,323","Right,Right,Left,Left,Right,Left,Right"
49,3,Wealth too low,25,90,55,-5,25.0,90.0,55.0,-5.0,25.0,90.0,55.0,-5.0,25.0,90.0,55.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"362,363,364","Right,Left,Right"
50,5,Stability too high,30,100,65,5,30.0,100.0,65.0,5.0,30.0,100.0,65.0,5.0,30.0,100.0,65.0,5.0,0.0,0.0,0.0,0.0,0,0,,"229,230,275,276,183","Right,Right,Left,Left,Right"
51,2,Stability too high,35,100,45,20,35.0,100.0,45.0,20.0,35.0,100.0,45.0,20.0,35.0,100.0,45.0,20.0,0.0,0.0,0.0,0.0,0,0,,"277,278","Right,Right"
52,3,Stability too high,30,115,75,0,30.0,115.0,75.0,0.0,30.0,115.0,75.0,0.0,30.0,115.0,75.0,0.0,0.0,0.0,0.0,0.0,0,0,,"123,124,183","Right,Right,Right"
53,8,Wealth too low,50,90,90,-5,50.0,90.0,90.0,-5.0,50.0,90.0,90.0,-5.0,50.0,90.0,90.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"237,238,195,196,131,132,159,160","Right,Left,Right,Right,Left,Left,Left,Right"
54,6,Wealth too low,55,85,65,-10,55.0,85.0,65.0,-10.0,55.0,85.0,65.0,-10.0,55.0,85.0,65.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"187,188,255,256,55,56","Left,Left,Right,Left,Right,Right"
55,4,Wealth too low,30,90,85,-5,30.0,90.0,85.0,-5.0,30.0,90.0,85.0,-5.0,30.0,90.0,85.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"171,172,127,128","Right,Right,Right,Right"
56,11,Stability too high,25,110,55,15,25.0,110.0,55.0,15.0,25.0,110.0,55.0,15.0,25.0,110.0,55.0,15.0,0.0,0.0,0.0,0.0,0,0,,"73,74,221,222,33,34,299,300,241,242,165","Left,Right,Left,Left,Left,Left,Left,Right,Left,Left,Right"
57,5,Wealth too low,35,80,75,0,35.0,80.0,75.0,0.0,35.0,80.0,75.0,0.0,35.0,80.0,75.0,0.0,0.0,0.0,0.0,0.0,0,0,,"127,128,227,228,261","Right,Right,Right,Left,Right"
58,9,Wealth too low,55,65,65,0,55.0,65.0,65.0,0.0,55.0,65.0,65.0,0.0,55.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0,0,,"105,106,345,346,347,207,208,117,118","Right,Right,Left,Left,Left,Left,Left,Left,Left"
59,7,Stability too high,60,115,50,10,60.0,115.0,50.0,10.0,60.0,115.0,50.0,10.0,60.0,115.0,50.0,10.0,0.0,0.0,0.0,0.0,0,0,,"17,18,308,309,245,246,139","Left,Left,Right,Left,Left,Left,Right"
60,12,Piety too low,0,115,70,35,0.0,115.0,70.0,35.0,0.0,115.0,70.0,35.0,0.0,115.0,70.0,35.0,0.0,0.0,0.0,0.0,0,0,,"67,68,133,134,348,349,350,69,70,21,22,105","Left,Left,Right,Right,Left,Left,Right,Left,Left,Right,Right,Right"
61,4,Stability too high,50,100,35,30,50.0,100.0,35.0,30.0,50.0,100.0,35.0,30.0,50.0,100.0,35.0,30.0,0.0,0.0,0.0,0.0,0,0,,"263,264,304,305","Left,Left,Right,Left"
62,6,Wealth too low,90,60,70,0,90.0,60.0,70.0,0.0,90.0,60.0,70.0,0.0,90.0,60.0,70.0,0.0,0.0,0.0,0.0,0.0,0,0,,"285,286,249,250,53,54","Right,Right,Left,Left,Left,Left"
63,3,Piety too low,-15,95,65,10,-15.0,95.0,65.0,10.0,-15.0,95.0,65.0,10.0,-15.0,95.0,65.0,10.0,0.0,0.0,0.0,0.0,0,0,,"91,92,219","Right,Right,Right"
64,4,Stability too high,25,105,55,30,25.0,105.0,55.0,30.0,25.0,105.0,55.0,30.0,25.0,105.0,55.0,30.0,0.0,0.0,0.0,0.0,0,0,,"247,248,181,182","Left,Left,Right,Right"
65,5,Wealth too low,45,70,85,-5,45.0,70.0,85.0,-5.0,45.0,70.0,85.0,-5.0,45.0,70.0,85.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"39,40,293,294,393","Right,Left,Right,Left,Left"
66,7,Stability too high,60,115,85,-5,60.0,115.0,85.0,-5.0,60.0,115.0,85.0,-5.0,60.0,115.0,85.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"23,24,17,18,304,305,306","Right,Left,Left,Left,Right,Left,Left"
67,7,Stability too high,65,115,60,10,65.0,115.0,60.0,10.0,65.0,115.0,60.0,10.0,65.0,115.0,60.0,10.0,0.0,0.0,0.0,0.0,0,0,,"15,16,209,210,304,305,306","Right,Right,Left,Left,Left,Left,Left"
68,7,Wealth too low,70,55,55,-5,70.0,55.0,55.0,-5.0,70.0,55.0,55.0,-5.0,70.0,55.0,55.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"326,327,328,329,187,188,201","Right,Right,Left,Left,Left,Left,Right"
69,12,Power too high,65,70,100,15,65.0,70.0,100.0,15.0,65.0,70.0,100.0,15.0,65.0,70.0,100.0,15.0,0.0,0.0,0.0,0.0,0,0,,"253,254,321,322,348,349,350,247,248,373,374,131","Right,Left,Right,Left,Left,Right,Right,Right,Left,Left,Left,Left"
70,4,Stability too high,45,100,25,35,45.0,100.0,25.0,35.0,45.0,100.0,25.0,35.0,45.0,100.0,25.0,35.0,0.0,0.0,0.0,0.0,0,0,,"37,38,97,98","Left,Left,Left,Left"
71,3,Piety too low,-15,115,80,20,-15.0,115.0,80.0,20.0,-15.0,115.0,80.0,20.0,-15.0,115.0,80.0,20.0,0.0,0.0,0.0,0.0,0,0,,"219,220,295","Right,Right,Left"
72,3,Wealth too low,45,85,50,0,45.0,85.0,50.0,0.0,45.0,85.0,50.0,0.0,45.0,85.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0,,"319,320,235","Right,Left,Right"
73,9,Stability too high,35,110,70,5,35.0,110.0,70.0,5.0,35.0,110.0,70.0,5.0,35.0,110.0,70.0,5.0,0.0,0.0,0.0,0.0,0,0,,"1,2,111,112,253,254,387,388,207","Right,Right,Left,Left,Right,Left,Left,Right,Left"
74,4,Piety too high,100,-5,80,15,100.0,-5.0,80.0,15.0,100.0,-5.0,80.0,15.0,100.0,-5.0,80.0,15.0,0.0,0.0,0.0,0.0,0,0,,"351,352,137,138","Left,Left,Right,Left"
75,8,Wealth too low,65,65,90,0,65.0,65.0,90.0,0.0,65.0,65.0,90.0,0.0,65.0,65.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,,"338,339,85,86,167,168,351,352","Right,Right,Right,Left,Left,Left,Left,Left"
76,9,Stability too high,55,100,45,0,55.0,100.0,45.0,0.0,55.0,100.0,45.0,0.0,55.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0,,"93,94,49,50,153,154,19,20,321","Right,Left,Right,Right,Left,Left,Left,Left,Right"
77,5,Wealth too low,70,80,85,-5,70.0,80.0,85.0,-5.0,70.0,80.0,85.0,-5.0,70.0,80.0,85.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"109,110,253,254,91","Right,Right,Left,Left,Left"
78,4,Wealth too low,60,75,60,0,60.0,75.0,60.0,0.0,60.0,75.0,60.0,0.0,60.0,75.0,60.0,0.0,0.0,0.0,0.0,0.0,0,0,,"177,178,397,398","Right,Left,Right,Left"
79,6,Stability too high,45,115,30,25,45.0,115.0,30.0,25.0,45.0,115.0,30.0,25.0,45.0,115.0,30.0,25.0,0.0,0.0,0.0,0.0,0,0,,"29,30,69,70,101,102","Right,Left,Right,Left,Right,Right"
80,4,Stability too high,25,100,70,55,25.0,100.0,70.0,55.0,25.0,100.0,70.0,55.0,25.0,100.0,70.0,55.0,0.0,0.0,0.0,0.0,0,0,,"321,322,275,276","Right,Right,Left,Right"
81,4,Stability too high,40,120,35,20,40.0,120.0,35.0,20.0,40.0,120.0,35.0,20.0,40.0,120.0,35.0,20.0,0.0,0.0,0.0,0.0,0,0,,"304,305,306,307","Right,Left,Left,Left"
82,5,Wealth too low,55,85,65,-5,55.0,85.0,65.0,-5.0,55.0,85.0,65.0,-5.0,55.0,85.0,65.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"297,298,107,108,277","Right,Left,Right,Left,Right"
83,9,Stability too high,60,100,55,5,60.0,100.0,55.0,5.0,60.0,100.0,55.0,5.0,60.0,100.0,55.0,5.0,0.0,0.0,0.0,0.0,0,0,,"17,18,87,88,225,226,362,363,364","Left,Left,Right,Left,Right,Left,Left,Left,Right"
84,9,Wealth too low,45,85,70,0,45.0,85.0,70.0,0.0,45.0,85.0,70.0,0.0,45.0,85.0,70.0,0.0,0.0,0.0,0.0,0.0,0,0,,"328,329,179,180,195,196,57,58,370","Right,Right,Left,Left,Right,Right,Left,Right,Left"
85,4,Stability too high,25,105,35,15,25.0,105.0,35.0,15.0,25.0,105.0,35.0,15.0,25.0,105.0,35.0,15.0,0.0,0.0,0.0,0.0,0,0,,"261,262,285,286","Right,Left,Right,Right"
86,5,Stability too high,35,115,55,10,35.0,115.0,55.0,10.0,35.0,115.0,55.0,10.0,35.0,115.0,55.0,10.0,0.0,0.0,0.0,0.0,0,0,,"153,154,199,200,165","Right,Left,Right,Left,Right"
87,4,Stability too high,30,100,60,35,30.0,100.0,60.0,35.0,30.0,100.0,60.0,35.0,30.0,100.0,60.0,35.0,0.0,0.0,0.0,0.0,0,0,,"1,2,316,317","Right,Right,Left,Left"
88,4,Stability too high,35,110,65,0,35.0,110.0,65.0,0.0,35.0,110.0,65.0,0.0,35.0,110.0,65.0,0.0,0.0,0.0,0.0,0.0,0,0,,"375,376,269,270","Right,Right,Left,Right"
89,9,Stability too high,50,100,60,5,50.0,100.0,60.0,5.0,50.0,100.0,60.0,5.0,50.0,100.0,60.0,5.0,0.0,0.0,0.0,0.0,0,0,,"313,314,315,231,232,209,210,81,82","Right,Left,Right,Left,Right,Left,Left,Left,Right"
90,6,Stability too high,40,110,80,50,40.0,110.0,80.0,50.0,40.0,110.0,80.0,50.0,40.0,110.0,80.0,50.0,0.0,0.0,0.0,0.0,0,0,,"379,380,67,68,103,104","Right,Right,Left,Left,Right,Right"
91,3,Stability too high,10,115,35,25,10.0,115.0,35.0,25.0,10.0,115.0,35.0,25.0,10.0,115.0,35.0,25.0,0.0,0.0,0.0,0.0,0,0,,"191,192,279","Right,Right,Right"
92,4,Stability too high,60,120,40,10,60.0,120.0,40.0,10.0,60.0,120.0,40.0,10.0,60.0,120.0,40.0,10.0,0.0,0.0,0.0,0.0,0,0,,"271,272,389,390","Left,Left,Right,Right"
93,5,Stability too high,30,110,60,25,30.0,110.0,60.0,25.0,30.0,110.0,60.0,25.0,30.0,110.0,60.0,25.0,0.0,0.0,0.0,0.0,0,0,,"101,102,249,250,287","Right,Right,Right,Left,Right"
94,3,Wealth too low,30,85,75,-5,30.0,85.0,75.0,-5.0,30.0,85.0,75.0,-5.0,30.0,85.0,75.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"31,32,291","Right,Left,Right"
95,6,Power too high,65,75,105,-10,65.0,75.0,105.0,-10.0,65.0,75.0,105.0,-10.0,65.0,75.0,105.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"173,174,181,182,253,254","Left,Left,Right,Right,Right,Left"
96,4,Power too high,50,55,110,10,50.0,55.0,110.0,10.0,50.0,55.0,110.0,10.0,50.0,55.0,110.0,10.0,0.0,0.0,0.0,0.0,0,0,,"23,24,27,28","Right,Left,Left,Left"
97,6,Wealth too low,40,85,90,-5,40.0,85.0,90.0,-5.0,40.0,85.0,90.0,-5.0,40.0,85.0,90.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"159,160,199,200,359,360","Right,Right,Right,Left,Left,Right"
98,10,Power too high,55,65,110,-5,55.0,65.0,110.0,-5.0,55.0,65.0,110.0,-5.0,55.0,65.0,110.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"227,228,249,250,163,164,181,182,335,336","Right,Left,Right,Left,Left,Right,Right,Left,Left,Left"
99,10,Stability too high,40,105,50,40,40.0,105.0,50.0,40.0,40.0,105.0,50.0,40.0,40.0,105.0,50.0,40.0,0.0,0.0,0.0,0.0,0,0,,"397,398,69,70,79,80,197,198,119,120","Right,Right,Left,Left,Right,Right,Left,Left,Left,Left"
100,6,Power too high,45,85,105,-5,45.0,85.0,105.0,-5.0,45.0,85.0,105.0,-5.0,45.0,85.0,105.0,-5.0,0.0,0.0,0.0,0.0,0,0,,"185,186,209,210,117,118","Right,Right,Right,Left,Left,Left"
101,5,Stability too high,25,110,55,5,25.0,110.0,55.0,5.0,25.0,110.0,55.0,5.0,25.0,110.0,55.0,5.0,0.0,0.0,0.0,0.0,0,0,,"19,20,165,166,229","Right,Left,Right,Right,Right"
102,7,Stability too high,85,105,55,30,85.0,105.0,55.0,30.0,85.0,105.0,55.0,30.0,85.0,105.0,55.0,30.0,0.0,0.0,0.0,0.0,0,0,,"17,18,263,264,61,62,245","Left,Left,Left,Left,Left,Left,Left"
103,2,Stability too high,35,100,45,15,35.0,100.0,45.0,15.0,35.0,100.0,45.0,15.0,35.0,100.0,45.0,15.0,0.0,0.0,0.0,0.0,0,0,,"399,400","Right,Right"
104,8,Wealth too low,65,60,45,0,65.0,60.0,45.0,0.0,65.0,60.0,45.0,0.0,65.0,60.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0,,"111,112,173,174,326,327,313,314","Right,Right,Left,Left,Right,Right,Left,Left"
105,6,Wealth too low,80,70,80,0,80.0,70.0,80.0,0.0,80.0,70.0,80.0,0.0,80.0,70.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0,,"253,254,271,272,295,296","Right,Left,Left,Left,Left,Left"
106,7,Wealth too low,80,75,65,0,80.0,75.0,65.0,0.0,80.0,75.0,65.0,0.0,80.0,75.0,65.0,0.0,0.0,0.0,0.0,0.0,0,0,,"255,256,340,341,342,41,42","Right,Left,Right,Left,Right,Left,Left"
107,3,Wealth too low,50,85,50,0,50.0,85.0,50.0,0.0,50.0,85.0,50.0,0.0,50.0,85.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0,,"385,386,109","Right,Left,Right"
108,4,Wealth too low,35,75,80,0,35.0,75.0,80.0,0.0,35.0,75.0,80.0,0.0,35.0,75.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0,,"87,88,283,284","Right,Left,Right,Left"
109,3,Piety too low,-5,105,90,20,-5.0,105.0,90.0,20.0,-5.0,105.0,90.0,20.0,-5.0,105.0,90.0,20.0,0.0,0.0,0.0,0.0,0,0,,"21,22,219","Right,Right,Right"
110,6,Power too high,55,50,110,0,55.0,50.0,110.0,0.0,55.0,50.0,110.0,0.0,55.0,50.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0,,"225,226,393,394,351,352","Right,Left,Left,Right,Left,Left"
111,4,Wealth too low,25,90,90,-10,25.0,90.0,90.0,-10.0,25.0,90.0,90.0,-10.0,25.0,90.0,90.0,-10.0,0.0,0.0,0.0,0.0,0,0,,"25,26,340,341","Right,Left,Right,Right"
112,7,Stability too high,45,100,45,5,45.0,100.0,45.0,5.0,45.0,100.0,45.0,5.0,45.0,100.0,45.0,5.0,0.0,0.0,0.0,0.0,0,0,,"195,196,173,174,319,320,137","Right,Right,Left,Left,Right,Left,Left"
113,4,Power too high,45,55,110,20,45.0,55.0,110.0,20.0,45.0,55.0,110.0,20.0,45.0,55.0,110.0,20.0,0.0,0.0,0.0,0.0,0,0,,"59,60,27,28","Right,Left,Left,Left"
114,3,Wealth too low,25,90,85,-15,25.0,90.0,85.0,-15.0,25.0,90.0,85.0,-15.0,25.0,90.0,85.0,-15.0,0.0,0.0,0.0,0.0,0,0,,"125,126,291","Right,Left,Right"
115,2,Stability too high,20,100,50,15,20.0,100.0,50.0,15.0,20.0,100.0,50.0,15.0,20.0,100.0,50.0,15.0,0.0,0.0,0.0,0.0,0,0,,"155,156","Right,Right"
116,2,Stability too high,35,105,35,45,35.0,105.0,35.0,45.0,35.0,105.0,35.0,45.0,35.0,105.0,35.0,45.0,0.0,0.0,0.0,0.0,0,0,,"165,166","Right,Right"
